coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Feb 02 15:34:58 +0000 2020,2019nCoV KnowYourFacts,https://twitter.com/WHO/status/1223993219022753793/photo/1,,420,1223993219022753793,WHO,1223904465394249700,14499829,en,,false,282,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO Q: Can gargling mouthwash protect you from infection with the #2019nCoV?
A: No. There is no evidence that using mouthwash will protect you from infection with the new coronavirus.

#KnowYourFacts https://t.co/lQEVEZ6jGT",https://twitter.com/WHO/status/1223993219022753793,Wed Apr 23 19:56:27 +0000 2008,WHO,false,"We are the #UnitedNations’ health agency. We are committed to achieving better health for everyone, everywhere - #HealthForAll",11544,8389069,1728,32266,"Geneva, Switzerland",World Health Organization (WHO),WHO,55729,,http://www.who.int,true
,Sun May 24 22:30:25 +0000 2020,,https://twitter.com/AnaghaAcharya/status/1264685212031729664/photo/1,https://twitter.com/MumbaiPolice/status/1264660808254054400?s=19,28,1264685212031729664,KiritSomaiya,1264681691647484000,348988523,en,,false,7,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KiritSomaiya @BJP4Maharashtra You didn't understood the gravity of your mistake? You are posting backdated video &amp; that too comment that she is positive whereas she never tested positive. @MumbaiPolice has WARNED you decently not to circulate unverified content. Screenshot attached, 
https://t.co/4VvJm8pYhT https://t.co/wsc3NJXXwZ",https://twitter.com/AnaghaAcharya/status/1264685212031729664,Fri Jul 19 18:40:22 +0000 2013,AnaghaAcharya,false,Robust Web Portal Project Mngt - Expert in Dashboard Requirement Analysis - Digital Media Mngt - RTs Not Endorsement #मराठी #म Views personal | Indecent भक्त 🚫,16142,13905,1637,22,"Mumbai, Maharashtra",Anagha Acharya - अनघा आचार्य,AnaghaAcharya,29389,,,false
,Mon May 18 14:30:00 +0000 2020,URGENTE,https://twitter.com/sonora969/status/1262389981202563073/photo/1,,282,1262389981202563073,,,,es,,true,215,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨#URGENTE🚨 

BROTE MASIVO en maquila ubicada en Prados de Villa Hermosa.

Alcalde dice a Radio Sonora que de 900 empleados, el 75% TIENE EL VIRUS.

""Los casos brotan como poporopos"" dice. https://t.co/pa6jeDIrcJ",https://twitter.com/sonora969/status/1262389981202563073,Sat Jan 08 16:43:10 +0000 2011,sonora969,false,Cuenta Oficial de Radio Cadena SONORA. Acá publicamos sólo avances noticiosos que son ampliados a través de nuestras 30 frecuencias en toda Guatemala.,612,835453,48,1554,Guatemala ,Radio SONORA 96.9 FM,sonora969,179371,,http://www.sonora.com.gt,false
,Wed Jun 10 17:09:46 +0000 2020,,,,2,1270765111020531718,,,,pt,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Circulam boatos que o PL 1562/20 autoriza a inviolabilidade do domicílio privado para fiscalizar o uso de máscaras. ISSO É FAKE NEWS!!! Isso não consta no corpo da lei e ainda por cima é inconstitucional!,https://twitter.com/gilcutrim/status/1270765111020531718,Mon Jul 05 18:26:11 +0000 2010,gilcutrim,false,"Deputado Federal / MA (PDT), casado, Advogado, pai de dois filhos, ex-prefeito de São José de Ribamar-MA, ex-presidente da FAMEM",1397,1209,613,42,"Maranhão, Brasil",Gil Cutrim,gilcutrim,1831,,http://www.gilcutrim.com.br,false
,Mon May 25 00:06:34 +0000 2020,,https://twitter.com/SegurancaSP/status/1264709406329114627/photo/1,https://bit.ly/2ZF867w,304,1264709406329114627,,,,pt,,false,60,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","✔️ Além de homenagem e toque de silêncio durante o sepultamento, militares de todo o Estado, que não estavam no atendimento de emergência, prestaram continência ao soldado durante um minuto.

Veja: https://t.co/H6Uo5wfdwZ https://t.co/Ghrna2lEPp",https://twitter.com/SegurancaSP/status/1264709406329114627,Thu Jul 02 22:06:56 +0000 2009,SegurancaSP,false,Secretaria da Segurança Pública de SP - Disque Denúncia: 181; Emergência: 190; Ouvidoria: 0800177070,1067,72986,58,268,"São Paulo, Brasil",SegurançaSP,SegurancaSP,14692,,http://www.ssp.sp.gov.br,true
,Tue May 19 14:33:31 +0000 2020,COVID19 WHA73,,,2376,1262753256079384578,,,,en,,,525,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Huge thanks to
🇨🇴 President @IvanDuque
🇵🇾 President @MaritoAbdo
🇧🇹 @PMBhutan Tshering
🇪🇸 PM @sanchezcastejon
🇮🇹 PM @GiuseppeConteIT
🇹🇻 PM Natano
🇻🇳 PM Phuc 
🇪🇺 President @vonderleyen
for their support to @WHO in the #COVID19 response and during the #WHA73. Together!",https://twitter.com/DrTedros/status/1262753256079384578,Sun Sep 12 13:09:27 +0000 2010,DrTedros,false,Director-General of the World Health Organization,9782,1305570,990,4414,"Geneva, Switzerland",Tedros Adhanom Ghebreyesus,DrTedros,25165,,http://www.who.int,true
,Mon Jun 29 02:15:48 +0000 2020,IMPORTANTE,https://twitter.com/MinSaludBolivia/status/1277425505340477441/photo/1,https://bit.ly/3g7TPW0,62,1277425505340477441,,,,es,,false,43,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#IMPORTANTE

Comunicado documentado sobre el Dióxido de Cloro

Descarga el comunicado completo en: https://t.co/KmjsfqpQjv https://t.co/JNvSAnXvKP",https://twitter.com/MinSaludBolivia/status/1277425505340477441,Fri May 25 01:58:00 +0000 2012,MinSaludBolivia,false,Cuenta Oficial del Ministerio de Salud del Estado Plurinacional de Bolivia,2382,61069,236,269,"La Paz, Bolivia",Salud Bolivia,MinSaludBolivia,25326,,http://www.minsalud.gob.bo/,true
,Mon Jun 08 21:47:29 +0000 2020,,,https://www.pnas.org/content/101/16/6146,101,1270110222074298368,DiseaseEcology,1270110221071839200,1647829928,en,,false,29,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Early in epidemic there were Qs whether people w/out symptoms could spread the disease. It is critically important and fundamentally determines whether quarantining based on symptoms will be effective. See fantastic paper on this by @ChristoPhraser https://t.co/0KSM4jvTMY,https://twitter.com/DiseaseEcology/status/1270110222074298368,Mon Aug 05 13:38:22 +0000 2013,DiseaseEcology,false,"Disease Ecology, Population Biology",1867,6509,118,266,Univ California Santa Cruz,A Marm Kilpatrick,DiseaseEcology,3516,,http://kilpatrick.eeb.ucsc.edu/,false
,Sat May 16 04:39:46 +0000 2020,,https://twitter.com/DineshDSouza/status/1261516669341532161/photo/1,,45044,1261516669341532161,,,,en,,false,13138,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is the health director of Los Angeles. Any questions? https://t.co/p6LFOmeZkJ,https://twitter.com/DineshDSouza/status/1261516669341532161,Sun Nov 22 22:32:41 +0000 2009,DineshDSouza,false,"""Trump Card"" is an exposé of the socialism, corruption, and gangsterization that now define the Democratic Party. Available on DVD Oct. 6 and on demand Oct. 9",647,1769930,6004,6761,United States,Dinesh D'Souza,DineshDSouza,57654,,http://dineshdsouza.com/trumpcard,true
,Sat Jun 06 21:01:07 +0000 2020,Pamathon elalfa DYArmy,https://twitter.com/daddy_yankee/status/1269373780364754944/video/1,https://open.spotify.com/playlist/37i9dQZF1DWVEc1oN0czuO?si=79rJB-_7Q-ayWDCxlOPbqA,2932,1269373780364754944,,,,es,,false,268,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Pamathon Dímelo @JQuiles #elalfa  el #DYArmy activo https://t.co/xABPtc1A4w https://t.co/VrGVtaeE3j,https://twitter.com/daddy_yankee/status/1269373780364754944,Wed Apr 29 21:15:16 +0000 2009,daddy_yankee,false,"#1 Billboard awarded, multi-platinum album urban artist. Producer, singer and songwriter. Check my latest hits #despacito. #DURA #ConCalma #QueTirePaLante",18470,13852022,97,16245,Worldwide,Daddy Yankee,daddy_yankee,22133,,http://www.daddyyankee.com,true
,Tue Jun 23 05:21:48 +0000 2020,,https://twitter.com/IraqiForati/status/1275297986982141953/video/1,,279,1275297986982141953,,,,ar,,false,157,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","المكسيك 👇👇👇
رمي جثث موتى الإصابات بفايروس كورونا في البحر🤔😥
المصدر : روسيا اليوم https://t.co/JYmhYKqVEa",https://twitter.com/IraqiForati/status/1275297986982141953,Tue Mar 01 02:03:15 +0000 2011,IraqiForati,false,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏مواطن عراقي مغترب
مهندس / Engineer
أكره نظام ملالي إيران 🇮🇷 ومن يواليه من الذيول الرافضة الصفوية المجوسية😡
ارجوا مشاهدة التغريدة المثبتة اول",19617,2760,2572,2,,العراقي الفراتي,IraqiForati,19853,,https://www.facebook.com/groups/826531327487779/?ref=share,false
,Sat May 16 18:08:43 +0000 2020,,https://twitter.com/Sophie_Wilmes/status/1261720246592757760/photo/1,,402,1261720246592757760,,,,fr,,false,65,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Les visites des hôpitaux Chirec-Delta et Saint-Pierre furent un moment de rencontres, dialogue important pour personnel soignant comme pour moi. Situation sanitaire, protections, charge mentale, valorisation du métier, financement des soins de santé, aucun sujet n’a été écarté. https://t.co/8uJAuhn99V",https://twitter.com/Sophie_Wilmes/status/1261720246592757760,Tue Mar 06 15:50:06 +0000 2012,Sophie_Wilmes,false,"Belgian Deputy Prime Minister and Minister of Foreign Affairs, of European Affairs, of Foreign Trade and in charge of Federal Cultural Institutions 🇧🇪🇪🇺",645,63218,935,359,Belgique,Sophie Wilmès,Sophie_Wilmes,1730,,http://www.sophiewilmes.be,true
,Tue Jun 23 19:25:07 +0000 2020,,,https://twitter.com/JSegor/status/1275472601834377222,77146,1275510212384788480,,,,en,,false,19733,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cases up only because of our big number testing. Mortality rate way down!!! https://t.co/bKFmgOLEGZ,https://twitter.com/realDonaldTrump/status/1275510212384788480,Wed Mar 18 13:46:38 +0000 2009,realDonaldTrump,false,45th President of the United States of America🇺🇸,5,87237857,50,121321,"Washington, DC",Donald J. Trump,realDonaldTrump,56900,,http://www.Instagram.com/realDonaldTrump,true
,Thu Jun 04 10:46:10 +0000 2020,,https://twitter.com/porcipolitici/status/1268494247944228864/photo/1,,24,1268494247944228864,,,,und,,false,18,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/XcGEEUda6g,https://twitter.com/porcipolitici/status/1268494247944228864,Wed Mar 30 20:15:34 +0000 2016,porcipolitici,false,TI FARANNO FUMARE PER FARTI SOGNARE CHE...UN FUTURO O UN MESSIA... TUTTO CAMBIERÀ.,11446,5589,5125,5,"Pontedera, Toscana",TI DIRANNO CHE IL VENTO È..IL RESPIRO DI UNA DONNA,porcipolitici,14645,,,false
,Tue May 26 07:13:34 +0000 2020,HandInHandWithUganda Uganda COVID19,,https://youtu.be/IlxrMk8ePJQ,29,1265179251185266688,,,,en,,false,12,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""In Uganda, we have contributed more than $15 million, or UGX 56 billion, to the COVID-19 response....we are in this together, #HandInHandWithUganda.""  Please see video message from our Chargé d’Affaires Chris Krafft on US support to #Uganda for #COVID19.
https://t.co/KMluQtUOMS",https://twitter.com/usmissionuganda/status/1265179251185266688,Fri Oct 01 07:10:59 +0000 2010,usmissionuganda,false,"The United States has enjoyed diplomatic relations with Uganda for over 30 years. Official handle of U.S. Mission Uganda, facilitated by U.S. Embassy Kampala.",1055,148550,7447,324,Uganda,U.S. Mission Uganda,usmissionuganda,11680,,http://ug.usembassy.gov,true
,Tue May 12 06:28:02 +0000 2020,nhk_news,,https://www3.nhk.or.jp/news/html/20200512/k10012426541000.html,171,1260094363817742338,,,,ja,,false,129,,,"<a href=""http://www.nhk.or.jp/"" rel=""nofollow"">NHK</a>",「病床のひっ迫状況」東京除き緩和傾向 医療体制は整備必要 #nhk_news https://t.co/UZBtTF66hg,https://twitter.com/nhk_news/status/1260094363817742338,Mon Oct 18 08:15:29 +0000 2010,nhk_news,false,NHKニュースの公式アカウントです。最新のニュースを24時間休みなくお届けします。 https://t.co/Q11WanxIUh をご確認、ご了承ください。問い合わせは https://t.co/GFpkKLrfr0,0,3053642,20,60543,東京都渋谷区神南2-2-1,NHKニュース,nhk_news,475925,,http://nhk.jp/news,true
,Sun May 03 08:49:11 +0000 2020,Jikingewakingewengine Coronainazuilika,https://twitter.com/wizara_afyatz/status/1256868393443098624/photo/1,,246,1256868393443098624,,,,in,,false,58,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Taarifa ya Serikali kwa umma kuhusu masuala mbalimbali yanayohusu mapambano dhidi ya ugonjwa wa Corona (Covid-19).

#Jikingewakingewengine
#Coronainazuilika https://t.co/1jK9jA0a3d",https://twitter.com/wizara_afyatz/status/1256868393443098624,Thu Feb 19 04:54:19 +0000 2015,wizara_afyatz,false,"Ukurasa Rasmi wa Wizara ya Afya, Maendeleo ya Jamii, Jinsia, Wazee na Watoto.

Ukurasa huu unaendeshwa na Kitengo cha Mawasiliano ya Serikali - Idara Kuu AFYA",487,93499,57,39,"Dar es Salaam, Tanzania",Wizara ya Afya Tanzania,wizara_afyatz,1308,,http://www.moh.go.tz,false
,Wed May 20 14:10:21 +0000 2020,,https://twitter.com/Cucaiba/status/1263109814449778688/video/1,,17,1263109814449778688,,,,es,,false,21,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Necesitamos del amor y la solidaridad de los pacientes recuperados de COVID19 para desarrollar los nuevos tratamientos. Es imprescindible que se presenten de manera urgente.
DONÁ PLASMA llamando al @Cucaiba

0800 222 0101

@Kicillofok
@magariovero 
@Hemodifusion 
@DrDanielGollan https://t.co/GDJdCWuY2Y",https://twitter.com/Cucaiba/status/1263109814449778688,Fri May 27 19:15:24 +0000 2011,Cucaiba,false,"Es el organismo del  Ministerio de Salud creado por ley Prov. 10.586, responsable del Programa Provincial de Trasplante de Órganos en toda la jurisdicción.",13866,5887,1004,18,Calle 129 e/ 51 y 53. CP 1925,CUCAIBA,Cucaiba,6832,,http://www.cucaiba.gba.gov.ar,false
,Sun Jun 21 04:33:19 +0000 2020,,https://twitter.com/TatePartyof8/status/1274561009328336896/photo/1,,13246,1274561009328336896,,,,en,,false,3831,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",THIS is SO dead on!!  👏🏻👏🏻👏🏻👏🏻@serenawilliams https://t.co/sxmQI4WNYN,https://twitter.com/TatePartyof8/status/1274561009328336896,Fri Apr 14 05:33:57 +0000 2017,TatePartyof8,false,"Wife to Steve . Mom to 6 {including bbg triplets} . Photographer . Mom to Hayes, our angel warrior https://t.co/7R0KYNL6Qs https://t.co/zIPSpq7ljX",6310,419,877,0,"Holladay, UT",Savanna Tate,TatePartyof8,1039,,,false
,Thu May 14 19:55:02 +0000 2020,,,,22369,1261022227543265286,,,,pt,,,4439,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alguém sabe se o doria mandou recolher cloroquina e hidroxicloroquina de farmácias do Estado de São Paulo? Se isso ocorreu, pra onde foram os remédios?",https://twitter.com/ArthurWeint/status/1261022227543265286,Sun Dec 16 07:46:42 +0000 2018,ArthurWeint,false,"Professor de Direito da Unifesp. Bacharel, Mestre e Doutor em Direito pela USP. Pós-Doutor pela Unifesp.🇧🇷",30101,558184,231,504,,Arthur Weintraub,ArthurWeint,5196,,https://www.youtube.com/c/ArthurWeintraubb,true
,Sun Oct 13 23:41:01 +0000 2019,SiSePuede,https://twitter.com/elisacarrio/status/1183528094700838912/video/1,,5856,1183528094700838912,,,,es,,false,2039,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","El 19 en el Obelisco ""Marcha por la Libertad"" #SiSePuede 🇦🇷 https://t.co/0DpQrxb1NK",https://twitter.com/elisacarrio/status/1183528094700838912,Tue Jul 09 00:07:26 +0000 2013,elisacarrio,false,Ex Diputada Nacional CC-ARI,1622,1221770,348,1362,Cuenta Oficial - Argentina,Elisa Lilita Carrió,elisacarrio,10366,,http://www.elisacarrio.org,true
,Wed Jun 24 21:12:49 +0000 2020,,https://twitter.com/UtahDPS/status/1275899703700291584/photo/1,https://bci.utah.gov/concealed-firearm/general-information/concealed-firearm-permit-frequently-asked-questions/,140,1275899703700291584,,,,en,,false,54,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","We're seeing some social media posts in which people are under the impression that wearing a mask and carrying concealed in Utah is a crime. 
It's not. 
Utah law has no prohibition against carrying a concealed firearm and wearing a mask. https://t.co/JMuFsiun06 https://t.co/WpPmzTxd7y",https://twitter.com/UtahDPS/status/1275899703700291584,Wed Mar 18 19:15:14 +0000 2009,UtahDPS,false,Official account for the Utah Department of Public Safety. Updates & incident information for our 11 divisions. #KeepingUtahSafe  https://t.co/VDJUaZDvfJ,1318,29604,456,571,Utah,Utah Public Safety,UtahDPS,6370,,http://dpsnews.utah.gov,true
,Wed Apr 15 20:41:42 +0000 2020,ID2020,,https://bit.ly/3a9aTrj,72,1250524724905426944,,,,en,,false,51,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Thanks, @newhumanitarian for this story about how conspiracy theories and false accusations about #ID2020's work have obscured our message and, ultimately, led to death threats against our staff. We appreciate the opportunity to set the record straight.  https://t.co/aOojAzfV1k",https://twitter.com/ID2020/status/1250524724905426944,Fri May 15 08:37:53 +0000 2015,ID2020,false,1.1 billion people live without an officially recognized identity. We are a global alliance committed to solving this problem through #DigitalIdentity.,162,9048,3208,123,"Manhattan, NY",ID2020,ID2020,437,,http://www.id2020.org,false
,Sun Apr 26 18:34:07 +0000 2020,Dubai,,,210,1254478882683699200,,,,en,,,48,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Dubai's Supreme Committee of Crisis and Disaster Management eases restrictions on movement in Al Ras and Naif. The Decision comes as both areas record zero COVID-19 cases in the last two days.,https://twitter.com/DXBMediaOffice/status/1254478882683699200,Mon May 04 05:05:55 +0000 2009,DXBMediaOffice,false,The Official Twitter Feed of The Government of Dubai Media Office الحساب الرسمي للمكتب الإعلامي لحكومة دبي,0,2158190,168,1651,"Dubai, United Arab Emirates",Dubai Media Office,DXBMediaOffice,126721,,http://mediaoffice.ae/,true
