,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified,cleaned_text,token_length,sentence_length
11,,Sun May 24 22:30:25 +0000 2020,,https://twitter.com/AnaghaAcharya/status/1264685212031729664/photo/1,https://twitter.com/MumbaiPolice/status/1264660808254054400?s=19,28,1264685212031729664,KiritSomaiya,1.264681691647484e+18,348988523.0,en,,False,7,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KiritSomaiya @BJP4Maharashtra You didn't understood the gravity of your mistake? You are posting backdated video &amp; that too comment that she is positive whereas she never tested positive. @MumbaiPolice has WARNED you decently not to circulate unverified content. Screenshot attached, 
https://t.co/4VvJm8pYhT https://t.co/wsc3NJXXwZ",https://twitter.com/AnaghaAcharya/status/1264685212031729664,Fri Jul 19 18:40:22 +0000 2013,AnaghaAcharya,False,Robust Web Portal Project Mngt - Expert in Dashboard Requirement Analysis - Digital Media Mngt - RTs Not Endorsement #मराठी #म Views personal | Indecent भक्त 🚫,16142,13905,1637,22,"Mumbai, Maharashtra",Anagha Acharya - अनघा आचार्य,AnaghaAcharya,29389,,,False,"@kiritsomaiya @bjp4maharashtra you didnt understood the gravity of your mistake you are posting backdated video amp that too comment that she is positive whereas she never tested positive. @mumbaipolice has warned you decently not to circulate unverified content. screenshot attached 
 ",45,3
12,,Mon May 18 14:30:00 +0000 2020,URGENTE,https://twitter.com/sonora969/status/1262389981202563073/photo/1,,282,1262389981202563073,,,,es,,True,215,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨#URGENTE🚨 

BROTE MASIVO en maquila ubicada en Prados de Villa Hermosa.

Alcalde dice a Radio Sonora que de 900 empleados, el 75% TIENE EL VIRUS.

""Los casos brotan como poporopos"" dice. https://t.co/pa6jeDIrcJ",https://twitter.com/sonora969/status/1262389981202563073,Sat Jan 08 16:43:10 +0000 2011,sonora969,False,Cuenta Oficial de Radio Cadena SONORA. Acá publicamos sólo avances noticiosos que son ampliados a través de nuestras 30 frecuencias en toda Guatemala.,612,835453,48,1554,Guatemala ,Radio SONORA 96.9 FM,sonora969,179371,,http://www.sonora.com.gt,False,"#urgente 

brote masivo en maquila ubicada en prados de villa hermosa.

alcalde dice a radio sonora que de 900 empleados el 75 tiene el virus.

los casos brotan como poporopos dice. ",35,3
13,,Wed Jun 10 17:09:46 +0000 2020,,,,2,1270765111020531718,,,,pt,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Circulam boatos que o PL 1562/20 autoriza a inviolabilidade do domicílio privado para fiscalizar o uso de máscaras. ISSO É FAKE NEWS!!! Isso não consta no corpo da lei e ainda por cima é inconstitucional!,https://twitter.com/gilcutrim/status/1270765111020531718,Mon Jul 05 18:26:11 +0000 2010,gilcutrim,False,"Deputado Federal / MA (PDT), casado, Advogado, pai de dois filhos, ex-prefeito de São José de Ribamar-MA, ex-presidente da FAMEM",1397,1209,613,42,"Maranhão, Brasil",Gil Cutrim,gilcutrim,1831,,http://www.gilcutrim.com.br,False,circulam boatos que o pl 156220 autoriza a inviolabilidade do domicílio privado para fiscalizar o uso de máscaras. isso é fake news isso não consta no corpo da lei e ainda por cima é inconstitucional,36,2
14,,Mon May 25 00:06:34 +0000 2020,,https://twitter.com/SegurancaSP/status/1264709406329114627/photo/1,https://bit.ly/2ZF867w,304,1264709406329114627,,,,pt,,False,60,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","✔️ Além de homenagem e toque de silêncio durante o sepultamento, militares de todo o Estado, que não estavam no atendimento de emergência, prestaram continência ao soldado durante um minuto.

Veja: https://t.co/H6Uo5wfdwZ https://t.co/Ghrna2lEPp",https://twitter.com/SegurancaSP/status/1264709406329114627,Thu Jul 02 22:06:56 +0000 2009,SegurancaSP,False,Secretaria da Segurança Pública de SP - Disque Denúncia: 181; Emergência: 190; Ouvidoria: 0800177070,1067,72986,58,268,"São Paulo, Brasil",SegurançaSP,SegurancaSP,14692,,http://www.ssp.sp.gov.br,True," além de homenagem e toque de silêncio durante o sepultamento militares de todo o estado que não estavam no atendimento de emergência prestaram continência ao soldado durante um minuto.

veja  ",31,2
15,,Tue May 19 14:33:31 +0000 2020,COVID19 WHA73,,,2376,1262753256079384578,,,,en,,,525,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Huge thanks to
🇨🇴 President @IvanDuque
🇵🇾 President @MaritoAbdo
🇧🇹 @PMBhutan Tshering
🇪🇸 PM @sanchezcastejon
🇮🇹 PM @GiuseppeConteIT
🇹🇻 PM Natano
🇻🇳 PM Phuc 
🇪🇺 President @vonderleyen
for their support to @WHO in the #COVID19 response and during the #WHA73. Together!",https://twitter.com/DrTedros/status/1262753256079384578,Sun Sep 12 13:09:27 +0000 2010,DrTedros,False,Director-General of the World Health Organization,9782,1305570,990,4414,"Geneva, Switzerland",Tedros Adhanom Ghebreyesus,DrTedros,25165,,http://www.who.int,True,"huge thanks to
 president @ivanduque
 president @maritoabdo
 @pmbhutan tshering
 pm @sanchezcastejon
 pm @giuseppeconteit
 pm natano
 pm phuc 
 president @vonderleyen
for their support to @who in the #covid19 response and during the #wha73. together",43,2
16,,Mon Jun 29 02:15:48 +0000 2020,IMPORTANTE,https://twitter.com/MinSaludBolivia/status/1277425505340477441/photo/1,https://bit.ly/3g7TPW0,62,1277425505340477441,,,,es,,False,43,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#IMPORTANTE

Comunicado documentado sobre el Dióxido de Cloro

Descarga el comunicado completo en: https://t.co/KmjsfqpQjv https://t.co/JNvSAnXvKP",https://twitter.com/MinSaludBolivia/status/1277425505340477441,Fri May 25 01:58:00 +0000 2012,MinSaludBolivia,False,Cuenta Oficial del Ministerio de Salud del Estado Plurinacional de Bolivia,2382,61069,236,269,"La Paz, Bolivia",Salud Bolivia,MinSaludBolivia,25326,,http://www.minsalud.gob.bo/,True,"#importante

comunicado documentado sobre el dióxido de cloro

descarga el comunicado completo en  ",14,1
17,,Mon Jun 08 21:47:29 +0000 2020,,,https://www.pnas.org/content/101/16/6146,101,1270110222074298368,DiseaseEcology,1.2701102210718392e+18,1647829928.0,en,,False,29,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Early in epidemic there were Qs whether people w/out symptoms could spread the disease. It is critically important and fundamentally determines whether quarantining based on symptoms will be effective. See fantastic paper on this by @ChristoPhraser https://t.co/0KSM4jvTMY,https://twitter.com/DiseaseEcology/status/1270110222074298368,Mon Aug 05 13:38:22 +0000 2013,DiseaseEcology,False,"Disease Ecology, Population Biology",1867,6509,118,266,Univ California Santa Cruz,A Marm Kilpatrick,DiseaseEcology,3516,,http://kilpatrick.eeb.ucsc.edu/,False,early in epidemic there were qs whether people wout symptoms could spread the disease. it is critically important and fundamentally determines whether quarantining based on symptoms will be effective. see fantastic paper on this by @christophraser ,39,3
18,,Sat May 16 04:39:46 +0000 2020,,https://twitter.com/DineshDSouza/status/1261516669341532161/photo/1,,45044,1261516669341532161,,,,en,,False,13138,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is the health director of Los Angeles. Any questions? https://t.co/p6LFOmeZkJ,https://twitter.com/DineshDSouza/status/1261516669341532161,Sun Nov 22 22:32:41 +0000 2009,DineshDSouza,False,"""Trump Card"" is an exposé of the socialism, corruption, and gangsterization that now define the Democratic Party. Available on DVD Oct. 6 and on demand Oct. 9",647,1769930,6004,6761,United States,Dinesh D'Souza,DineshDSouza,57654,,http://dineshdsouza.com/trumpcard,True,this is the health director of los angeles. any questions ,11,2
19,,Sat Jun 06 21:01:07 +0000 2020,Pamathon elalfa DYArmy,https://twitter.com/daddy_yankee/status/1269373780364754944/video/1,https://open.spotify.com/playlist/37i9dQZF1DWVEc1oN0czuO?si=79rJB-_7Q-ayWDCxlOPbqA,2932,1269373780364754944,,,,es,,False,268,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Pamathon Dímelo @JQuiles #elalfa  el #DYArmy activo https://t.co/xABPtc1A4w https://t.co/VrGVtaeE3j,https://twitter.com/daddy_yankee/status/1269373780364754944,Wed Apr 29 21:15:16 +0000 2009,daddy_yankee,False,"#1 Billboard awarded, multi-platinum album urban artist. Producer, singer and songwriter. Check my latest hits #despacito. #DURA #ConCalma #QueTirePaLante",18470,13852022,97,16245,Worldwide,Daddy Yankee,daddy_yankee,22133,,http://www.daddyyankee.com,True,#pamathon dímelo @jquiles #elalfa  el #dyarmy activo  ,11,1
20,,Tue Jun 23 05:21:48 +0000 2020,,https://twitter.com/IraqiForati/status/1275297986982141953/video/1,,279,1275297986982141953,,,,ar,,False,157,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","المكسيك 👇👇👇
رمي جثث موتى الإصابات بفايروس كورونا في البحر🤔😥
المصدر : روسيا اليوم https://t.co/JYmhYKqVEa",https://twitter.com/IraqiForati/status/1275297986982141953,Tue Mar 01 02:03:15 +0000 2011,IraqiForati,False,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏مواطن عراقي مغترب
مهندس / Engineer
أكره نظام ملالي إيران 🇮🇷 ومن يواليه من الذيول الرافضة الصفوية المجوسية😡
ارجوا مشاهدة التغريدة المثبتة اول",19617,2760,2572,2,,العراقي الفراتي,IraqiForati,19853,,https://www.facebook.com/groups/826531327487779/?ref=share,False,"المكسيك 
رمي جثث موتى الإصابات بفايروس كورونا في البحر
المصدر  روسيا اليوم ",12,1
21,,Sat May 16 18:08:43 +0000 2020,,https://twitter.com/Sophie_Wilmes/status/1261720246592757760/photo/1,,402,1261720246592757760,,,,fr,,False,65,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Les visites des hôpitaux Chirec-Delta et Saint-Pierre furent un moment de rencontres, dialogue important pour personnel soignant comme pour moi. Situation sanitaire, protections, charge mentale, valorisation du métier, financement des soins de santé, aucun sujet n’a été écarté. https://t.co/8uJAuhn99V",https://twitter.com/Sophie_Wilmes/status/1261720246592757760,Tue Mar 06 15:50:06 +0000 2012,Sophie_Wilmes,False,"Belgian Deputy Prime Minister and Minister of Foreign Affairs, of European Affairs, of Foreign Trade and in charge of Federal Cultural Institutions 🇧🇪🇪🇺",645,63218,935,359,Belgique,Sophie Wilmès,Sophie_Wilmes,1730,,http://www.sophiewilmes.be,True,les visites des hôpitaux chirecdelta et saintpierre furent un moment de rencontres dialogue important pour personnel soignant comme pour moi. situation sanitaire protections charge mentale valorisation du métier financement des soins de santé aucun sujet na été écarté. ,40,2
22,,Tue Jun 23 19:25:07 +0000 2020,,,https://twitter.com/JSegor/status/1275472601834377222,77146,1275510212384788480,,,,en,,False,19733,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cases up only because of our big number testing. Mortality rate way down!!! https://t.co/bKFmgOLEGZ,https://twitter.com/realDonaldTrump/status/1275510212384788480,Wed Mar 18 13:46:38 +0000 2009,realDonaldTrump,False,45th President of the United States of America🇺🇸,5,87237857,50,121321,"Washington, DC",Donald J. Trump,realDonaldTrump,56900,,http://www.Instagram.com/realDonaldTrump,True,cases up only because of our big number testing. mortality rate way down ,14,2
23,,Thu Jun 04 10:46:10 +0000 2020,,https://twitter.com/porcipolitici/status/1268494247944228864/photo/1,,24,1268494247944228864,,,,und,,False,18,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/XcGEEUda6g,https://twitter.com/porcipolitici/status/1268494247944228864,Wed Mar 30 20:15:34 +0000 2016,porcipolitici,False,TI FARANNO FUMARE PER FARTI SOGNARE CHE...UN FUTURO O UN MESSIA... TUTTO CAMBIERÀ.,11446,5589,5125,5,"Pontedera, Toscana",TI DIRANNO CHE IL VENTO È..IL RESPIRO DI UNA DONNA,porcipolitici,14645,,,False,,0,0
24,,Tue May 26 07:13:34 +0000 2020,HandInHandWithUganda Uganda COVID19,,https://youtu.be/IlxrMk8ePJQ,29,1265179251185266688,,,,en,,False,12,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""In Uganda, we have contributed more than $15 million, or UGX 56 billion, to the COVID-19 response....we are in this together, #HandInHandWithUganda.""  Please see video message from our Chargé d’Affaires Chris Krafft on US support to #Uganda for #COVID19.
https://t.co/KMluQtUOMS",https://twitter.com/usmissionuganda/status/1265179251185266688,Fri Oct 01 07:10:59 +0000 2010,usmissionuganda,False,"The United States has enjoyed diplomatic relations with Uganda for over 30 years. Official handle of U.S. Mission Uganda, facilitated by U.S. Embassy Kampala.",1055,148550,7447,324,Uganda,U.S. Mission Uganda,usmissionuganda,11680,,http://ug.usembassy.gov,True,"in uganda we have contributed more than 15 million or ugx 56 billion to the covid19 response....we are in this together #handinhandwithuganda.  please see video message from our chargé daffaires chris krafft on us support to #uganda for #covid19.
",46,2
25,,Tue May 12 06:28:02 +0000 2020,nhk_news,,https://www3.nhk.or.jp/news/html/20200512/k10012426541000.html,171,1260094363817742338,,,,ja,,False,129,,,"<a href=""http://www.nhk.or.jp/"" rel=""nofollow"">NHK</a>",「病床のひっ迫状況」東京除き緩和傾向 医療体制は整備必要 #nhk_news https://t.co/UZBtTF66hg,https://twitter.com/nhk_news/status/1260094363817742338,Mon Oct 18 08:15:29 +0000 2010,nhk_news,False,NHKニュースの公式アカウントです。最新のニュースを24時間休みなくお届けします。 https://t.co/Q11WanxIUh をご確認、ご了承ください。問い合わせは https://t.co/GFpkKLrfr0,0,3053642,20,60543,東京都渋谷区神南2-2-1,NHKニュース,nhk_news,475925,,http://nhk.jp/news,True,病床のひっ迫状況東京除き緩和傾向 医療体制は整備必要 #nhknews ,4,1
26,,Sun May 03 08:49:11 +0000 2020,Jikingewakingewengine Coronainazuilika,https://twitter.com/wizara_afyatz/status/1256868393443098624/photo/1,,246,1256868393443098624,,,,in,,False,58,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Taarifa ya Serikali kwa umma kuhusu masuala mbalimbali yanayohusu mapambano dhidi ya ugonjwa wa Corona (Covid-19).

#Jikingewakingewengine
#Coronainazuilika https://t.co/1jK9jA0a3d",https://twitter.com/wizara_afyatz/status/1256868393443098624,Thu Feb 19 04:54:19 +0000 2015,wizara_afyatz,False,"Ukurasa Rasmi wa Wizara ya Afya, Maendeleo ya Jamii, Jinsia, Wazee na Watoto.

Ukurasa huu unaendeshwa na Kitengo cha Mawasiliano ya Serikali - Idara Kuu AFYA",487,93499,57,39,"Dar es Salaam, Tanzania",Wizara ya Afya Tanzania,wizara_afyatz,1308,,http://www.moh.go.tz,False,"taarifa ya serikali kwa umma kuhusu masuala mbalimbali yanayohusu mapambano dhidi ya ugonjwa wa corona covid19.

#jikingewakingewengine
#coronainazuilika ",21,2
27,,Wed May 20 14:10:21 +0000 2020,,https://twitter.com/Cucaiba/status/1263109814449778688/video/1,,17,1263109814449778688,,,,es,,False,21,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Necesitamos del amor y la solidaridad de los pacientes recuperados de COVID19 para desarrollar los nuevos tratamientos. Es imprescindible que se presenten de manera urgente.
DONÁ PLASMA llamando al @Cucaiba

0800 222 0101

@Kicillofok
@magariovero 
@Hemodifusion 
@DrDanielGollan https://t.co/GDJdCWuY2Y",https://twitter.com/Cucaiba/status/1263109814449778688,Fri May 27 19:15:24 +0000 2011,Cucaiba,False,"Es el organismo del  Ministerio de Salud creado por ley Prov. 10.586, responsable del Programa Provincial de Trasplante de Órganos en toda la jurisdicción.",13866,5887,1004,18,Calle 129 e/ 51 y 53. CP 1925,CUCAIBA,Cucaiba,6832,,http://www.cucaiba.gba.gov.ar,False,"necesitamos del amor y la solidaridad de los pacientes recuperados de covid19 para desarrollar los nuevos tratamientos. es imprescindible que se presenten de manera urgente.
doná plasma llamando al @cucaiba

0800 222 0101

@kicillofok
@magariovero 
@hemodifusion 
@drdanielgollan ",44,3
